idmeditable,nameMedi,useMedi,introMedi,warnMedi,takeMedi,sideEffectMedi,ifMissMedi
1,1-Day,"used to treat vaginal Candida (yeast) infections","Tioconazole is an antifungal medication that fights infections caused by fungus. 1-Day (for use in the vagina) is used to treat vaginal Candida (yeast) infections.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","This medicine is usually given as a single dose. You should notice some improvement in your symptoms after the 1-day treatment. It may take up to 7 days after using the 1-day dose before your symptoms go away completely.","signs of an allergic reaction: hives, difficult breathing, swelling of your face, lips, tongue, or throat. Call your doctor at once if you have new or worsening vaginal symptoms.","Since 1-Day is used as a single dose, it does not have a daily dosing schedule."
2,"12 Hour Nasal","used for temporary relief of congestion in the nose caused by various conditions including the common cold, sinusitis, hay fever, and allergies","Oxymetazoline is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose). 12 Hour Nasal (for the nose) is for temporary relief of nasal congestion (stuffy nose) caused by allergies or the common cold.","Stop using 12 Hour Nasal and call your doctor at once if you have ongoing or worsening symptoms, or if you have severe burning or stinging in your nose after using the nasal spray","Use exactly as directed on the label, or as prescribed by your doctor.  Using the medication too long or too often may worsen your symptoms or cause nasal congestion to clear up and come back. Call your doctor if your symptoms do not improve after 3 days of treatment.","ongoing or worsening symptoms; severe burning or stinging in your nose after using the nasal spray; chest pain, fast or uneven heart rate; or severe headache, buzzing in your ears, anxiety, confusion, or feeling short of breath.","Use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose."
3,"2 in 1 Dandruff","used to help control the symptoms of dandruff and seborrheic dermatitis of the scalp.","the Head and Shoulders, 2-in-1 range is specially formulated to have all the dandruff fighting power you expect, while combining the benefits of both shampoo and conditioner in one bottle.","In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make.","Before applying this shampoo, wet the hair and scalp with lukewarm water. Apply enough shampoo to the scalp to work up a lather and rub in well, then rinse. Apply the shampoo again and rinse thoroughly.","Irritation of skin and Other side effects may also occur in some patients. If you notice any other effects, check with your healthcare professional.","If you miss a dose of this medicine, take it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular dosing schedule. Do not double doses."
4,"3M Skin and Nasal Antiseptic","used on the skin to treat or prevent skin infection in minor cuts, scrapes, or burns.","3M Skin and Nasal Antiseptic is also used in a medical setting to help prevent infection and promote healing in skin wounds, pressure sores, or surgical incisions. Some forms of povidone iodine topical are used inside the mouth to provide temporary relief of minor mouth pain or irritation, sore throat, or canker sore pain.","Use exactly as directed on the label, or as prescribed by your doctor.","3M Skin and Nasal Antiseptic is usually applied to the skin as needed. First clean the area to be treated. Shake 3M Skin and Nasal Antiseptic spray well just before each use. Allow the medicine to dry completely on the skin before applying a bandage. Do not apply a tight bandage.","swelling, pain, warmth, redness, oozing, or other signs of infection; blistering or crusting; or severe irritation, itching, or burning.","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time."
5,4-Way,"used to treat nasal congestion and sinus pressure","Phenylephrine is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose). 4-Way is used to treat nasal congestion and sinus pressure caused by allergies, the common cold, or the flu. Phenylephrine may be used to treat congestion of the tubes that drain fluid from your inner ears, called the eustachian (yoo-STAY-shun) tubes.","Do not use 4-Way if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","Blow your nose gently. Keep your head upright and insert the tip of the bottle into one nostril. Press your other nostril closed with your finger. Then use the spray in your other nostril. Do not blow your nose for at least a few minutes after using the nasal spray. If the nasal spray has not been used for longer than 24 hours, prime it by spraying 1 or 2 times into a tissue.","severe sneezing, runny or stuffy nose, redness or swelling in your nose, or other worsening nasal symptoms (may be a sign of overuse of 4-Way), severe stinging, burning, or irritation inside your nose, severe dizziness, restless feeling, nervousness, or insomnia, mood changes, unusual thoughts or behavior, tremors or shaking","Since 4-Way is used when needed, you may not be on a dosing schedule. If you are on a schedule, use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose."
6,"5 Benzagel Acne","used to treat acne and may be used for other skin conditions as determined by your doctor.","This medication is used to treat mild to moderate acne. It may be used in combination with other acne treatments. When applied to the skin, benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. ","Tell your doctor if you have ever had any unusual or allergic reaction to this medicine or any other medicines. Also tell your health care professional if you have any other types of allergies, such as to foods, dyes, preservatives, or animals. For non-prescription products, read the label or package ingredients carefully.","This medicine is for use only on the skin. Do not use this medicine in or around the eyes or lips, or inside the nose, or on sensitive areas of the neck. Spread the medicine away from these areas when applying. If the medicine gets on these areas, wash with water at once. Do not use more of it and do not use it more often than recommended on the label.","Painful irritation of skin, including burning, blistering, crusting, itching, severe redness, or swelling and skin rash","If you miss a dose of this medicine, apply it as soon as possible. However, if it is almost time for your next dose, skip the missed dose and go back to your regular dosing schedule."
7,5-HTP,"used in alternative medicine as a possibly effective aid in treating depression or fibromyalgia.","5-HTP, also known as 5-HTP, is a dietary supplement made from the seeds of the African plant Griffonia simplicifolia. 5-HTP has been used in alternative medicine as a possibly effective aid in treating depression or fibromyalgia. Other uses not proven with research have included insomnia, alcohol withdrawal, headaches, premenstrual syndrome, binge-eating related to obesity, attention deficit disorder, and muscle spasms in the mouth.","Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","If you choose to use 5-HTP, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label. Do not use different forms (tablets, liquid, tincture, teas, etc) of 5-hydroxytryptophan at the same time without medical advice.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. severe tingling or numbness, skin rash, bruising, fever; or muscle pain or weakness.","Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra 5-HTP to make up the missed dose."
8,8-Mop,"used in combination with UVA light therapy to treat severe psoriasis.","8-Mop works by enhancing the body's sensitivity to ultraviolet light A (UVA). 8-Mop can cause harmful effects on your vision and on your skin (premature aging or skin cancer). 8-Mop is used only for severe psoriasis that has not improved with other treatments. You must remain under the care of a doctor while taking this medicine.","You should not use 8-Mop if you are sensitive to light, if you have lens damage in your eye, or if you have had skin cancer. 8-Mop can cause harmful effects on your vision and on your skin. You must avoid natural sunlight for up to 48 hours after UVA treatment.","You will take 8-Mop a certain number of hours before you are scheduled to receive UVA treatment. Soft gelatin capsules (Oxsoralen-Ultra) are more easily absorbed than hard gelatin capsules (8-Mop). The timing of your dose will depend on the type of capsule you are taking.
 Take this medicine with low-fat food or milk if it upsets your stomach.","severe skin redness within 24 hours after UVA treatment, swelling, severe itching, or severe skin discomfort, skin redness and swelling with blisters, worsening of your psoriasis, a new skin lesion, or a mole that has changed in size or color or blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights.","Call your doctor for instructions if you did not take 8-Mop at the correct time before your scheduled UVA treatment. You may need to reschedule."
9,"Abilify Maintena (injection)","used to treat schizophrenia and bipolar I disorder (manic depression) in adults.","Abilify Maintena is a prescription medicine used to treat the symptoms of Schizophrenia, Bipolar Mania and Major Depressive Disorder. Abilify Maintena may be used alone or with other medications.Abilify Maintena belongs to a class of drugs called Antipsychotics, 2nd Generation; Antimanic Agents.","Abilify Maintena is not approved for use in older adults with dementia-related psychosis.","uncontrolled muscle movements in your face ,feeling uncomfortably warm or hot,trouble swallowing, uneven heartbeats, tremors, feeling like you might pass out","your doctor may want to you also take this medicine by mouth (in tablet or liquid form) for a short time before your first injection. You may need to continue taking oral this medicine for up to 3 weeks after your first injection.","Call your doctor for instructions if you miss an appointment for your Abilify Maintena or call the Poison Help line at 1-800-222-1222"
10,Abiraterone,"reduce androgen production in the body","Abiraterone works by reducing androgen production in the body. Androgens are male hormones that can promote tumor growth in the prostate gland. Abiraterone is used together with steroid medication (prednisone or methylprednisolone) to treat prostate cancer that has spread to other parts of the body. abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.","Abiraterone tablets should not be handled by a woman who is pregnant or who may become pregnant. This medicine can harm an unborn baby or cause miscarriage.You should not use abiraterone if you are allergic to it.","Abiraterone is usually taken once per day while also taking a steroid 1 or 2 times per day. Take this medicine with a full glass of water. Follow your doctor's dosing instructions very carefully.","swelling in your ankles or feet, pain in your legs,fast or irregular heartbeats, a light-headed feeling, like you might pass out, severe headache, blurred vision, pounding in your neck or ears, pain or burning when you urinate","Skip the missed dose and take the medicine the following day. Do not take two doses at one time."
